"#","Reference","Qty","Value","Footprint","DNP"
"1","BT2","1","LiPo 3.7V","",""
"2","C1","1","100uF","",""
"3","C2","1","0.1uF","",""
"4","M2","1","28BYJ-48","",""
"5","SW2","1","SW_Push","",""
"6","U1","1","ULN2003","",""
"7","U5","1","SSD1306 OLED","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y",""
"8","U6","1","XIAO-ESP32C3","RF_Module:ESP32-C3-DevKitM-1",""
