"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","LiPo 3.7V","",""
"2","C1","1","0.1uF","",""
"3","C2","1","10uF","",""
"4","R1","1","R(10Ω)","",""
"5","SW1","1","SW_Push","",""
"6","U1","1","XIAO-ESP32C3","RF_Module:ESP32-C3-DevKitM-1",""
"7","U2","1","HX711","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"8","U3, U4","2","TAL220","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y",""
